latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.752193,2.284264,94.0,3600,Europe/Paris,GMT+1

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),cloud_cover (%),is_day ()
2006-12-16T00:00,5.3,92,1.2,0.00,8,0
2006-12-16T01:00,5.1,93,1.1,0.00,63,0
2006-12-16T02:00,5.1,93,1.4,0.00,92,0
2006-12-16T03:00,5.3,94,1.6,0.00,100,0
2006-12-16T04:00,5.6,94,2.1,0.00,98,0
2006-12-16T05:00,6.1,93,2.6,0.00,95,0
2006-12-16T06:00,6.0,94,2.4,0.00,98,0
2006-12-16T07:00,5.9,94,2.1,0.00,100,0
2006-12-16T08:00,6.2,93,2.2,0.00,100,0
2006-12-16T09:00,6.2,92,2.1,0.00,100,1
2006-12-16T10:00,6.8,90,2.7,0.00,100,1
2006-12-16T11:00,7.4,89,3.7,0.00,100,1
2006-12-16T12:00,8.1,89,4.4,0.10,100,1
2006-12-16T13:00,8.4,90,4.8,0.30,100,1
2006-12-16T14:00,8.5,94,5.6,0.50,100,1
2006-12-16T15:00,8.2,96,5.2,0.90,100,1
2006-12-16T16:00,7.4,95,4.3,1.00,100,1
2006-12-16T17:00,6.7,93,3.8,0.80,100,0
2006-12-16T18:00,6.4,93,3.4,0.20,100,0
2006-12-16T19:00,6.2,92,3.3,0.00,90,0
2006-12-16T20:00,5.9,91,3.3,0.00,72,0
2006-12-16T21:00,5.1,92,2.7,0.00,56,0
2006-12-16T22:00,4.3,94,1.9,0.00,30,0
2006-12-16T23:00,3.4,96,0.9,0.00,26,0
2006-12-17T00:00,2.6,97,0.1,0.00,19,0
2006-12-17T01:00,1.6,98,-1.2,0.00,12,0
2006-12-17T02:00,1.0,98,-2.0,0.00,10,0
2006-12-17T03:00,0.5,98,-2.6,0.00,23,0
2006-12-17T04:00,0.2,97,-3.0,0.00,91,0
2006-12-17T05:00,0.0,97,-3.3,0.00,99,0
2006-12-17T06:00,-0.1,97,-3.4,0.00,98,0
2006-12-17T07:00,-0.0,97,-3.4,0.00,100,0
2006-12-17T08:00,0.0,99,-3.3,0.00,100,0
